Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
30000,30000,0.1905,60,credit_card,21.25%,FL,MORTGAGE,6250,695-699,12,34927,0,6 years,695
6500,6500,0.1799,60,car,19.63%,FL,RENT,4100,665-669,11,11697,1,2 years,665
17400,17400,0.1199,36,credit_card,12.47%,AZ,RENT,6833.33,695-699,7,26587,0,7 years,695
4000,4000,0.1682,60,vacation,13.71%,GA,MORTGAGE,4500,670-674,5,20804,0,3 years,670
7200,7200,0.079,36,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8,12017,0,7 years,705
8000,8000,0.1442,36,debt_consolidation,24.63%,MA,RENT,2964.17,675-679,9,8928,2,6 years,675
8000,8000,0.1531,36,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,13,7152,1,5 years,675
3000,3000,0.0859,36,other,3.72%,MA,MORTGAGE,4167,765-769,4,7074,0,5 years,765
14500,14500,0.079,36,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4,9598,0,4 years,760
23850,23850,0.21,60,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3,9 years,685
14000,14000,0.1212,36,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0,2 years,685
35000,34975,0.1649,60,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7,31414,0,8 years,720
16000,16000,0.158,60,car,11.94%,WV,RENT,5250,685-689,14,154,1,3 years,685
17350,7019.25,0.1355,36,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8,18966,2,6 years,675
8000,7975,0.079,36,car,29.62%,AL,MORTGAGE,5583.33,780-784,9,6065,1,10+ years,780
7200,7200,0.079,36,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5,8783,0,3 years,720
20125,20125,0.0762,36,home_improvement,4.29%,VA,MORTGAGE,3750,830-834,13,73952,0,1 year,830
12000,11875,0.089,36,debt_consolidation,12.06%,NY,RENT,5000,715-719,11,14717,0,4 years,715
2400,1850,0.1249,36,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5,< 1 year,660
3200,3200,0.1727,36,home_improvement,8.36%,HI,MORTGAGE,2500,670-674,7,6619,1,3 years,670
12725,12725,0.1114,36,debt_consolidation,22.15%,TX,RENT,4416.67,720-724,23,4079,0,3 years,720
5500,5500,0.1913,36,credit_card,3.58%,DC,RENT,12000,660-664,2,0,1,8 years,660
15650,15650,0.2174,36,house,13.86%,MD,RENT,3700,660-664,5,10605,1,4 years,660
9000,9000,0.1727,36,credit_card,25.22%,CA,RENT,5166.67,675-679,14,5852,1,10+ years,675
5000,5000,0.1186,36,major_purchase,4%,TX,RENT,5577,715-719,3,1069,0,1 year,715
3000,3000,0.1038,36,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11,3098,0,2 years,710
20000,19975,0.2391,60,debt_consolidation,9.47%,CA,MORTGAGE,11250,670-674,5,11168,0,< 1 year,670
5450,5450,0.0749,60,other,2.48%,WA,MORTGAGE,4600,785-789,14,4326,0,10+ years,785
14000,14000,0.1212,36,debt_consolidation,11.38%,NY,MORTGAGE,4500,705-709,22,18583,0,5 years,705
8800,8799.04,0.1038,60,credit_card,21.59%,IL,RENT,3750,750-754,11,18694,1,2 years,750
3000,3000,0.1744,36,other,15.79%,MD,RENT,7952,660-664,4,12578,0,8 years,660
32000,32000,0.1727,60,debt_consolidation,15.61%,IL,RENT,9250,700-704,15,32566,1,2 years,700
22250,22250,0.2149,60,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0,9 years,665
7325,7300,0.178,60,debt_consolidation,20.37%,NY,OWN,3000,680-684,6,13583,0,5 years,680
16450,16450,0.1114,36,debt_consolidation,7.57%,NC,RENT,7500,725-729,5,2928,0,1 year,725
2500,2500,0.1298,36,debt_consolidation,16.45%,WI,RENT,1100,670-674,6,5019,1,4 years,670
6000,6000,0.0999,36,other,7.50%,FL,MORTGAGE,2625,715-719,4,5167,0,10+ years,715
27575,27575,0.1433,36,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6,8720,0,10+ years,690
1000,1000,0.0859,36,educational,10.69%,NY,OWN,4583.33,755-759,22,17069,1,< 1 year,755
12000,12000,0.1149,36,debt_consolidation,12.85%,IL,RENT,2708.33,705-709,8,12150,1,< 1 year,705
30000,30000,0.1016,36,debt_consolidation,22.21%,SD,MORTGAGE,8000,715-719,14,33218,0,10+ years,715
13500,13500,0.1433,36,debt_consolidation,31.70%,WV,RENT,4166.67,680-684,11,31168,0,1 year,680
9000,9000,0.158,36,debt_consolidation,22.65%,OH,MORTGAGE,3250,665-669,9,16480,0,3 years,665
15000,15000,0.0991,36,debt_consolidation,9.16%,AK,MORTGAGE,4250,730-734,11,11615,1,10+ years,730
5300,5300,0.079,36,medical,12.82%,CA,RENT,5500,725-729,8,9996,2,1 year,725
7000,7000,0.1311,36,debt_consolidation,16.76%,NJ,RENT,3650,685-689,12,6444,1,5 years,685
20000,19975,0.1629,36,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10,12421,3,< 1 year,685
15000,14993.57,0.1825,60,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4,12786,0,< 1 year,705
8000,8000,0.1409,36,home_improvement,12.06%,HI,RENT,5000,695-699,10,15360,1,6 years,695
24000,23947.48,0.1903,60,debt_consolidation,3.63%,CA,RENT,7500,695-699,6,8568,1,10+ years,695
7500,7500,0.089,36,debt_consolidation,10.02%,DE,RENT,5500,715-719,9,2382,0,6 years,715
17000,16875,0.1183,36,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5,3644,1,6 years,735
12000,12000,0.1727,36,credit_card,14.86%,NJ,OWN,4583.33,665-669,12,9145,1,10+ years,665
6000,6000,0.1531,36,other,15.91%,MN,RENT,3833.33,670-674,11,5760,1,10+ years,670
6725,825,0.1312,36,debt_consolidation,13.16%,MO,MORTGAGE,5000,670-674,10,5513,9,10+ years,670
4500,4500,0.0676,36,debt_consolidation,14.74%,WV,MORTGAGE,2666.67,790-794,7,2705,0,7 years,790
1600,1600,0.1083,36,other,5.36%,RI,RENT,2427,700-704,5,7020,0,3 years,700
10000,10000,0.1777,36,wedding,30.40%,NY,OWN,2500,665-669,5,8379,0,8 years,665
18550,18525,0.079,36,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10,28877,0,3 years,725
7450,7450,0.1306,36,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2,6416,1,10+ years,710
3225,3225,0.0762,36,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5,70323,1,10+ years,760
23675,23675,0.1777,36,credit_card,29.94%,PA,OWN,6399,680-684,21,21920,0,10+ years,680
12000,12000,0.1212,36,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0,10+ years,690
25000,25000,0.1649,36,debt_consolidation,18.18%,MA,RENT,6000,695-699,9,10630,2,7 years,695
16000,15850,0.1112,36,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7,18659,4,5 years,725
4200,4175,0.089,36,car,10.16%,NC,MORTGAGE,3041.67,810-814,4,1548,0,10+ years,810
10000,10000,0.1409,36,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11,8548,0,6 years,675
6000,6000,0.0751,36,home_improvement,2.52%,NJ,MORTGAGE,4800,750-754,4,1442,0,10+ years,750
6000,6000,0.1311,36,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2,2 years,685
7925,7925,0.1629,36,debt_consolidation,21.25%,GA,RENT,2000,665-669,6,7840,0,6 years,665
16000,15925,0.0762,36,debt_consolidation,6.48%,IL,MORTGAGE,6000,765-769,8,19539,0,n/a,765
9525,9500,0.1581,36,small_business,11.35%,CA,RENT,2666.67,670-674,15,5610,1,n/a,670
6000,6000,0.1435,36,debt_consolidation,14.08%,IL,MORTGAGE,2500,675-679,9,3621,3,< 1 year,675
10000,9975,0.1496,36,debt_consolidation,11.50%,FL,MORTGAGE,5250,675-679,4,3035,5,2 years,675
7000,7000,0.0662,36,major_purchase,8.03%,NM,MORTGAGE,10000,750-754,9,6761,1,6 years,750
4500,4500,0.0599,36,debt_consolidation,18.48%,CA,MORTGAGE,10000,765-769,18,17863,3,6 years,765
12000,12000,0.1114,36,debt_consolidation,2.37%,MD,MORTGAGE,12500,735-739,13,10944,0,5 years,735
10375,10375,0.1972,36,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1,5 years,665
4800,4800,0.1875,36,other,10.89%,NM,MORTGAGE,5833.33,670-674,8,17943,0,10+ years,670
6400,6400,0.1311,36,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7,8942,1,10+ years,700
5000,5000,0.079,36,debt_consolidation,17.22%,CA,OWN,4000,705-709,10,6023,0,10+ years,705
12000,12000,0.0662,36,credit_card,21.66%,NC,RENT,5250,740-744,11,20639,0,< 1 year,740
23850,23820.25,0.2148,60,other,18.75%,NY,MORTGAGE,4250,690-694,23,37251,0,4 years,690
15000,15000,0.1065,36,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years,720
8000,8000,0.0762,36,other,0%,NC,MORTGAGE,3500,765-769,7,0,1,n/a,765
20000,20000,0.0603,36,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9,29044,0,7 years,715
20000,19975,0.1311,36,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17,29756,2,< 1 year,710
10000,10000,0.1409,36,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3,< 1 year,690
18825,18825,0.1409,36,credit_card,13.08%,MI,RENT,4000,710-714,6,20694,1,4 years,710
35000,34975,0.079,36,small_business,1.59%,IL,RENT,18333.33,775-779,10,1992,0,1 year,775
9000,9000,0.0603,36,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11,675,0,n/a,815
4000,4000,0.0617,36,home_improvement,15%,CT,RENT,4234,745-749,5,587,1,2 years,745
5750,5750,0.1399,36,credit_card,12.44%,CA,RENT,5000,660-664,13,12465,0,10+ years,660
20950,20950,0.158,36,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8,30188,1,4 years,690
8000,8000,0.1099,36,credit_card,14.76%,NY,RENT,7500,710-714,9,7120,2,< 1 year,710
10000,10000,0.1016,36,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8,8940,2,n/a,725
10000,10000,0.1409,36,small_business,14.76%,NY,RENT,5000,675-679,7,4762,0,4 years,675
14000,14000,0.0603,36,credit_card,19.53%,CT,MORTGAGE,6000,765-769,13,4140,0,8 years,765
5000,5000,0.0766,36,credit_card,3.33%,RI,RENT,9000,735-739,3,12297,0,10+ years,735
25000,25000,0.1905,60,debt_consolidation,10.53%,IL,MORTGAGE,6250,700-704,8,15159,1,9 years,700
35000,35000,0.089,36,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9,21321,0,10+ years,735
7200,7175,0.1114,36,debt_consolidation,27.89%,OK,MORTGAGE,3750,690-694,8,20342,0,10+ years,690
14000,14000,0.0849,60,debt_consolidation,9.89%,CA,MORTGAGE,9000,760-764,17,23773,0,4 years,760
15000,14975,0.1521,36,debt_consolidation,19.10%,TX,RENT,5132,680-684,4,34044,1,3 years,680
25000,25000,0.1972,60,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21,35208,1,7 years,695
10800,10800,0.1465,36,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6,6487,1,< 1 year,675
20000,20000,0.1433,36,credit_card,21.44%,GA,MORTGAGE,6250,700-704,9,14268,1,9 years,700
4000,4000,0.1074,36,debt_consolidation,1.97%,KS,RENT,2900,695-699,13,1869,1,n/a,695
16000,15950,0.157,36,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years,675
1400,1400,0.0976,36,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6,6466,0,2 years,730
7500,7500,0.1632,36,debt_consolidation,12.54%,CA,MORTGAGE,4600,665-669,3,6120,0,2 years,665
24625,917.28,0.1407,36,credit_card,12.81%,NY,MORTGAGE,10000,675-679,14,33698,0,8 years,675
5000,5000,0.1409,36,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11,3977,1,< 1 year,680
25000,24975,0.0991,36,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14,27203,0,1 year,725
7500,7500,0.164,36,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0,< 1 year,660
34500,34450,0.0662,36,small_business,16.46%,CA,MORTGAGE,10000,805-809,8,5317,0,9 years,805
10000,10000,0.0579,36,debt_consolidation,6.49%,GA,MORTGAGE,12500,745-749,17,75629,0,1 year,745
3200,3200,0.0988,36,debt_consolidation,6.51%,MA,RENT,4500,740-744,7,3198,0,5 years,740
5500,5500,0.1599,60,debt_consolidation,17.95%,RI,RENT,4250,700-704,16,13256,0,10+ years,700
3000,3000,0.0976,36,debt_consolidation,21.82%,VA,OWN,1100,720-724,4,2413,0,n/a,720
18000,18000,0.2328,60,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0,10+ years,660
10000,9700,0.0963,36,debt_consolidation,13.77%,OK,MORTGAGE,4190,735-739,6,1251,1,< 1 year,735
8800,8800,0.1311,36,credit_card,16.73%,WI,RENT,3150.25,700-704,13,14266,1,4 years,700
7000,7000,0.1114,36,debt_consolidation,23.02%,TX,MORTGAGE,6000,705-709,17,19634,2,6 years,705
8000,8000,0.1311,36,debt_consolidation,19.01%,AK,RENT,2625,725-729,8,7554,1,5 years,725
3000,3000,0.1727,36,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0,n/a,660
12000,11975,0.0751,36,debt_consolidation,11.91%,MD,RENT,7500,735-739,18,33702,1,10+ years,735
3600,3575,0.1411,36,small_business,0.04%,WI,RENT,2500,725-729,4,1,0,3 years,725
11625,11625,0.1433,36,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6,27411,2,8 years,705
30000,30000,0.2149,36,credit_card,16.70%,MD,MORTGAGE,12500,670-674,14,19096,2,9 years,670
16000,16000,0.089,36,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11,6185,1,4 years,720
10800,10700,0.1075,36,major_purchase,15.32%,FL,MORTGAGE,8400,715-719,6,24675,0,10+ years,715
25000,23655.48,0.1669,60,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15,28748,3,8 years,705
10000,10000,0.1398,60,other,14.86%,MO,RENT,3916.67,710-714,9,5188,4,4 years,710
12375,275,0.1091,36,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11,8332,2,3 years,690
6000,6000,0.1148,36,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9,50935,0,10+ years,705
8000,8000,0.1349,36,debt_consolidation,14.92%,CO,RENT,5000,685-689,18,4786,1,2 years,685
15000,15000,0.1825,36,credit_card,9.73%,GA,MORTGAGE,5000,660-664,11,14596,0,8 years,660
7000,7000,0.1777,36,other,32.25%,NY,RENT,3333.33,665-669,12,35604,3,7 years,665
8400,8400,0.0692,36,renewable_energy,13.30%,MD,RENT,3000,745-749,9,6998,1,1 year,745
15000,15000,0.079,36,debt_consolidation,18.62%,PA,MORTGAGE,4500,740-744,10,17212,0,7 years,740
15000,14925,0.1433,36,debt_consolidation,13.30%,TX,RENT,5000,665-669,7,11368,1,< 1 year,665
2800,2800,0.1016,36,major_purchase,12%,NY,RENT,2083.33,695-699,7,7261,0,< 1 year,695
7750,7750,0.1629,36,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,680-684,18,17102,0,5 years,680
4500,4500,0.089,36,credit_card,18.18%,UT,RENT,2166.67,700-704,8,5361,0,4 years,700
17500,17375,0.1253,36,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7,20010,0,6 years,715
18000,18000,0.1531,60,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6,11596,0,10+ years,710
15000,14975,0.1527,60,debt_consolidation,17.90%,PA,MORTGAGE,2748,720-724,14,7956,1,6 years,720
6000,6000,0.1523,36,credit_card,19.57%,KS,OWN,4583.33,665-669,13,8077,1,1 year,665
11500,11475,0.1114,36,credit_card,28.25%,CA,RENT,2750,700-704,6,9079,0,5 years,700
10000,10000,0.1311,36,credit_card,7.56%,PA,RENT,2500,685-689,8,10906,0,7 years,685
12000,12000,0.089,36,credit_card,12.46%,MD,RENT,5000,725-729,5,13940,0,10+ years,725
10000,10000,0.1212,36,debt_consolidation,18.40%,CA,MORTGAGE,5000,685-689,7,13202,0,10+ years,685
35000,34975,0.2128,60,debt_consolidation,18.21%,AL,RENT,7916.67,680-684,8,19789,2,10+ years,680
7200,7100,0.1038,60,major_purchase,17.97%,PA,RENT,3000,750-754,7,2753,1,2 years,750
4000,3975,0.079,60,car,4.48%,TX,OWN,4000,800-804,16,6696,0,< 1 year,800
5300,5200,0.1114,36,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,740-744,5,73258,1,3 years,740
1200,1200,0.0762,36,other,8.69%,NY,MORTGAGE,3833.33,730-734,14,350,1,7 years,730
2500,2500,0.1114,36,major_purchase,10.08%,CA,RENT,4333.33,720-724,4,4922,0,3 years,720
17000,16975,0.1433,36,debt_consolidation,26.35%,MN,OWN,7500,700-704,21,39130,3,10+ years,700
16000,16000,0.079,36,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14,21913,1,5 years,695
10000,9950,0.1269,36,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8,7967,1,3 years,695
5000,5000,0.1016,36,debt_consolidation,24.50%,AL,MORTGAGE,6250,700-704,9,33705,0,6 years,700
4375,4375,0.1905,36,credit_card,9.09%,CA,RENT,2916.67,670-674,9,6944,2,6 years,670
8500,8475,0.0603,36,home_improvement,12.33%,MO,MORTGAGE,6100,745-749,17,6370,0,10+ years,745
12000,12000,0.1689,60,small_business,15.24%,OH,MORTGAGE,7500,675-679,14,28589,2,3 years,675
6200,6100,0.0859,36,other,19.10%,WI,RENT,5000,740-744,17,9367,0,1 year,740
7000,7000,0.1849,36,debt_consolidation,18.90%,AR,MORTGAGE,2000,660-664,10,7315,2,1 year,660
20800,20800,0.1269,60,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9,13197,0,1 year,730
19200,19200,0.1311,60,other,3.45%,IL,MORTGAGE,8333.33,745-749,14,50625,3,2 years,745
22000,22000,0.158,60,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,700-704,9,10267,1,10+ years,700
15000,15000,0.1905,36,debt_consolidation,24.88%,AZ,RENT,6000,675-679,12,12162,0,1 year,675
7000,6965.1,0.1947,36,debt_consolidation,17.08%,NJ,RENT,5000,665-669,11,13859,0,3 years,665
20000,20000,0.089,36,credit_card,17.08%,CO,RENT,4916.67,730-734,10,14952,2,4 years,730
2000,2000,0.0617,36,moving,18.35%,WA,RENT,5733.58,745-749,9,21998,0,3 years,745
18000,17738.58,0.1059,60,major_purchase,15.03%,OH,MORTGAGE,4000,755-759,9,6718,0,10+ years,755
20800,20775,0.1148,36,home_improvement,21.77%,CA,OWN,11666.67,790-794,6,682,1,10+ years,790
9000,8875,0.0788,36,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9,12217,0,7 years,725
6000,6000,0.1409,36,credit_card,22.50%,UT,RENT,2666.67,670-674,18,5955,0,10+ years,670
5000,5000,0.158,36,debt_consolidation,34.20%,CA,RENT,3750,665-669,18,5414,3,3 years,665
12000,11975,0.1483,60,credit_card,22.31%,CA,RENT,4186,685-689,9,9398,0,3 years,685
7000,1998,0.08,36,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9,21135,0,10+ years,750
6000,5950,0.1,36,major_purchase,8.74%,FL,MORTGAGE,15416.67,715-719,9,105730,1,10+ years,715
17000,16975,0.1398,36,debt_consolidation,17.65%,TX,MORTGAGE,9166.67,700-704,14,16230,4,3 years,700
12000,11975,0.0894,36,credit_card,18.99%,TX,RENT,4750,750-754,13,25577,1,4 years,750
16350,16350,0.079,36,credit_card,25.03%,MN,OWN,4541.67,730-734,7,25731,0,9 years,730
20000,20000,0.079,36,debt_consolidation,20.04%,TX,MORTGAGE,4625,755-759,14,31335,1,10+ years,755
12300,12300,0.1212,36,debt_consolidation,10.01%,CA,RENT,6583.33,690-694,15,12450,0,1 year,690
4800,4800,0.1311,36,moving,4.61%,TX,RENT,2666.67,690-694,3,7911,0,< 1 year,690
14500,14500,0.079,36,credit_card,11.96%,IL,RENT,4500,735-739,8,16398,0,6 years,735
4200,4200,0.089,36,debt_consolidation,10.43%,CA,MORTGAGE,2254,700-704,7,4490,0,n/a,700
22250,22250,0.1409,36,credit_card,32.10%,MN,MORTGAGE,6583.33,690-694,18,44868,0,10+ years,690
8000,8000,0.1409,36,home_improvement,7.68%,IL,RENT,25000,675-679,6,28579,1,8 years,675
8325,8325,0.1777,36,debt_consolidation,20.75%,MO,RENT,2000,665-669,7,7676,0,< 1 year,665
14000,14000,0.1311,36,debt_consolidation,8.12%,CA,OWN,10416.67,730-734,4,4776,0,7 years,730
9000,9000,0.1016,36,debt_consolidation,3.98%,MD,MORTGAGE,6000,705-709,6,5659,0,7 years,705
16000,16000,0.1311,36,credit_card,17.61%,GA,MORTGAGE,6083.33,680-684,13,15148,0,2 years,680
15200,13694.22,0.1114,36,credit_card,14.50%,AZ,MORTGAGE,7916.67,760-764,7,217827,2,6 years,760
24000,24000,0.1065,36,debt_consolidation,14.80%,CA,RENT,3750,725-729,5,24708,0,10+ years,725
16450,16450,0.1531,36,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years,685
7500,7500,0.1212,36,home_improvement,26.56%,NH,MORTGAGE,5000,710-714,8,9047,1,10+ years,710
4750,4750,0.2247,36,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9,4752,2,< 1 year,665
6500,6500,0.079,36,debt_consolidation,12.56%,AR,RENT,6750,720-724,17,33229,0,8 years,720
5500,5450,0.1867,60,debt_consolidation,17.71%,NY,RENT,1750,660-664,6,4492,6,2 years,660
9600,9600,0.0603,36,home_improvement,7.52%,AL,MORTGAGE,6250,750-754,7,765,0,< 1 year,750
12000,11975,0.1212,36,major_purchase,31.34%,NY,OWN,4166.67,710-714,21,28703,2,3 years,710
2000,2000,0.0751,36,other,16.73%,CA,RENT,1500,730-734,5,2925,0,4 years,730
18000,18000,0.2489,60,moving,14.88%,VT,RENT,4000,665-669,10,7377,3,8 years,665
5825,5825,0.1212,36,home_improvement,4%,AR,OWN,3750,690-694,4,5643,0,1 year,690
2500,2500,0.1531,36,home_improvement,22.81%,VA,RENT,2530,670-674,7,5276,6,< 1 year,670
7200,7200,0.1991,60,other,2%,NY,RENT,5500,660-664,13,2130,0,9 years,660
8000,8000,0.1433,36,other,11.85%,MD,RENT,3941.58,670-674,15,9660,0,2 years,670
25000,24675,0.2077,60,home_improvement,19.12%,TX,MORTGAGE,6000,665-669,17,12757,2,10+ years,665
2500,2500,0.1409,36,medical,20.95%,NY,RENT,2666.67,665-669,9,15787,0,n/a,665
20000,2050,0.1284,36,home_improvement,1.49%,MI,MORTGAGE,3500,750-754,6,1954,5,2 years,750
6250,6250,0.1311,36,debt_consolidation,28.61%,CT,RENT,1779.17,720-724,19,7455,1,3 years,720
12375,12375,0.1367,36,debt_consolidation,22.42%,KS,MORTGAGE,2083.33,680-684,8,12226,0,3 years,680
18000,18000,0.1016,36,debt_consolidation,16.71%,NY,MORTGAGE,6666.67,685-689,16,19850,1,6 years,685
3300,3300,0.0699,36,other,20.04%,IL,RENT,3333.33,760-764,10,0,2,1 year,760
21000,21000,0.1849,60,other,16.40%,TX,MORTGAGE,8833.33,700-704,11,29293,0,1 year,700
24575,24575,0.1629,36,debt_consolidation,19.60%,GA,MORTGAGE,5250,695-699,8,20858,2,10+ years,695
5000,4900,0.0774,36,other,14.40%,OH,RENT,5166.67,750-754,8,15489,1,10+ years,750
20000,20000,0.1629,36,debt_consolidation,23.59%,MI,MORTGAGE,5833.33,680-684,14,12696,1,< 1 year,680
13250,13250,0.0662,36,debt_consolidation,28.64%,IL,MORTGAGE,5750,750-754,12,7174,3,8 years,750
10000,9975,0.0859,36,major_purchase,2.85%,PA,MORTGAGE,10167,790-794,9,16,3,10+ years,790
20000,19950,0.1075,36,debt_consolidation,11.37%,NY,RENT,8416.67,740-744,10,12283,0,3 years,740
10000,10000,0.0849,36,debt_consolidation,13.58%,FL,MORTGAGE,4166.67,715-719,8,8455,0,10+ years,715
12000,12000,0.1212,36,debt_consolidation,14.66%,FL,MORTGAGE,5000,710-714,11,13235,2,2 years,710
8000,7950,0.079,36,home_improvement,12.54%,IL,MORTGAGE,3500,725-729,8,6834,2,5 years,725
11000,10950,0.0894,36,credit_card,22.38%,AK,MORTGAGE,4200,760-764,6,8694,4,7 years,760
12500,12425,0.0749,36,debt_consolidation,14.07%,MD,RENT,8237.5,730-734,15,13261,0,6 years,730
